Antibody,Virus,IC50,IC80,ID50
0.5gamma,6535_3,0.3,,
0.5gamma,AC10_29,110,,
0.5gamma,CAAN5342,80,,
0.5gamma,JRFL,3.47,,
0.5gamma,PVO_4,35,,
0.5gamma,QH0692_42,38,,
0.5gamma,REJO4541_67,6.5,,
0.5gamma,RHPA4259_7,10.5,,
0.5gamma,TRJO4551_58,4.5,,
0.5gamma,TRO_11,82,,
0.5gamma,WITO4160_33,1.1,,
0.5gamma,YU2,4.28,,
0PV-a.01,0077_V1_C16,1.7,5.45,
0PV-a.01,0815_V3_C3,0.375,2.73,
0PV-a.01,246_F3_C10_2,177,>500,
0PV-a.01,25710_2_43,0.179,0.752,
0PV-a.01,286_36,3.67,23.9,
0PV-a.01,3301_V1_C24,8.18,150,
0PV-a.01,3365_V2_C20,61,>500,
0PV-a.01,3873_V1_C24,38.7,355,
0PV-a.01,3988_25,48.7,>500,
0PV-a.01,398_F1_F6_20,17.1,440,
0PV-a.01,45_01DG5,169,>500,
0PV-a.01,6101_1,285,>500,
0PV-a.01,6631_V3_C10,13.6,183,
0PV-a.01,89_6,27.4,299,
0PV-a.01,92BR025_9,96,446,
0PV-a.01,92RW020_2,231,>500,
0PV-a.01,96ZM651_02,0.849,5.42,
0PV-a.01,AC10_29,8.59,178,
0PV-a.01,BAL_01,2.12,72,
0PV-a.01,BB201_B42,4.49,307,
0PV-a.01,BG505_W6M_C2,6.07,18.1,
0PV-a.01,BG505_W6M_C2_N611Q,0.105,,
0PV-a.01,BI369_9A,1.59,25.4,
0PV-a.01,BJOX002000_03_2,142,>500,
0PV-a.01,BL01,2.36,15.9,
0PV-a.01,BX08_16,63,>500,
0PV-a.01,C1080_C3,321,>500,
0PV-a.01,CAP210_E8,101,>500,
0PV-a.01,CAP45_G3,357,>500,
0PV-a.01,CE1176_A3,67,156,
0PV-a.01,CH117_4,0.964,9.83,
0PV-a.01,CH119_10,3.78,37.2,
0PV-a.01,CNE15,6.27,73,
0PV-a.01,CNE19,0.325,1.07,
0PV-a.01,CNE21,38.2,220,
0PV-a.01,CNE40,0.806,8.6,
0PV-a.01,CNE56,24.6,201,
0PV-a.01,CNE57,4.76,>500,
0PV-a.01,CNE58,74,492,
0PV-a.01,DU123_06,16,312,
0PV-a.01,DU172_17,186,>500,
0PV-a.01,H086_8,23,129,
0PV-a.01,HXB2,0.742,1.94,
0PV-a.01,KER2008_12,0.751,6.26,
